asset_path,ref_count,file_exists,example_src_in_html
treatment/surgery/common/img/surgery01/pic01.jpg,2,yes,./common/img/surgery01/pic01.jpg
treatment/surgery/common/img/surgery01/pic02.jpg,2,yes,./common/img/surgery01/pic02.jpg
treatment/surgery/common/img/surgery01/pic03.jpg,2,yes,./common/img/surgery01/pic03.jpg
treatment/surgery/common/img/surgery01/pic04.jpg,2,yes,./common/img/surgery01/pic04.jpg
treatment/surgery/common/img/surgery01/pic05.jpg,2,yes,./common/img/surgery01/pic05.jpg
treatment/surgery/common/img/surgery01/pic06.jpg,2,yes,./common/img/surgery01/pic06.jpg
treatment/surgery/common/img/surgery02/A_Echizen_3019.jpg,1,yes,./common/img/surgery02/A_Echizen_3019.jpg
treatment/surgery/common/img/surgery02/DBS_Echizen_3019.jpg,1,yes,./common/img/surgery02/DBS_Echizen_3019.jpg
treatment/surgery/common/img/surgery02/deb_Echizen_3019.jpg,1,yes,./common/img/surgery02/deb_Echizen_3019.jpg
treatment/surgery/common/img/surgery02/pic01.jpg,1,yes,./common/img/surgery02/pic01.jpg
treatment/surgery/common/img/surgery02/pic02.jpg,1,yes,./common/img/surgery02/pic02.jpg
treatment/surgery/common/img/surgery02/pic03.jpg,1,yes,./common/img/surgery02/pic03.jpg
treatment/surgery/common/img/surgery02/pic04.jpg,1,yes,./common/img/surgery02/pic04.jpg
treatment/surgery/common/img/surgery02/postOpe_Echizen_3019.jpg,1,yes,./common/img/surgery02/postOpe_Echizen_3019.jpg
treatment/surgery/common/img/surgery02/preOpe_Echizen_3019.jpg,1,yes,./common/img/surgery02/preOpe_Echizen_3019.jpg
treatment/surgery/common/img/surgery03/pic01.jpg,1,yes,./common/img/surgery03/pic01.jpg
treatment/surgery/common/img/surgery03/pic02.jpg,1,yes,./common/img/surgery03/pic02.jpg
treatment/surgery/common/img/surgery03/pic03.jpg,1,yes,./common/img/surgery03/pic03.jpg
treatment/surgery/common/img/surgery03/pic04.jpg,1,yes,./common/img/surgery03/pic04.jpg
treatment/surgery/common/img/surgery03/pic05.jpg,1,yes,./common/img/surgery03/pic05.jpg
treatment/surgery/common/img/surgery03/pic06.jpg,1,yes,./common/img/surgery03/pic06.jpg
treatment/surgery/common/img/surgery03/pic07.jpg,1,yes,./common/img/surgery03/pic07.jpg
treatment/surgery/common/img/surgery04/pic01.jpg,1,yes,./common/img/surgery04/pic01.jpg
treatment/surgery/common/img/surgery04/pic02.jpg,1,yes,./common/img/surgery04/pic02.jpg
treatment/surgery/common/img/surgery04/pic03.jpg,1,yes,./common/img/surgery04/pic03.jpg
treatment/surgery/common/img/surgery04/pic04.jpg,1,yes,./common/img/surgery04/pic04.jpg
treatment/surgery/common/img/surgery04/pic05.jpg,1,yes,./common/img/surgery04/pic05.jpg
treatment/surgery/common/img/surgery04/pic06.jpg,1,yes,./common/img/surgery04/pic06.jpg
